word,translation,last_try,created,success,fail
action de fumer,흡연,,2025-03-26 16:21:25,0,0
adorable,사랑스럽다,,2025-03-25 21:06:14,0,0
aider,돕다,,2025-03-25 21:00:14,0,0
aller au travail,출근,,2025-03-25 21:29:14,0,0
assez,그만,,2025-03-25 21:23:52,0,0
attendre,기다리다,,2025-03-25 21:15:33,0,0
augmenter,올리다,,2025-03-25 21:48:30,0,0
aujourd'hui,오늘,,2025-03-24 17:13:27,0,0
boutique,매장,,2025-03-24 20:04:11,0,0
chaise,의자,,2025-03-13 15:36:18,0,0
chat,고양이,,2025-03-13 15:36:13,1,0
chercher,찾다,,2025-03-25 21:39:00,0,0
chien,개,,2025-03-13 15:34:44,0,0
choisir,정하다,,2025-03-24 16:54:56,0,0
client,손님,,2025-03-24 16:45:58,0,0
commencement,처음,,2025-03-25 21:49:46,0,0
compliment,칭찬,,2025-03-26 16:02:04,0,0
contravention,벌금,,2025-03-26 16:22:37,0,0
coussin,쿠션,,2025-03-13 15:46:19,0,0
crier,소리치다,,2025-03-26 16:11:40,0,0
dans ce cas,그럼,,2025-03-24 20:01:41,0,0
de nos jours,요즘,,2025-03-25 21:19:54,0,0
de toute façon,어쨌든,,2025-03-25 21:16:38,0,0
diplôme,학위,,2025-03-24 16:59:09,0,0
docteur,의사,,2025-03-25 21:19:10,0,0
dépenser (de l'argent),쓰다,,2025-03-25 21:18:17,0,0
emporter,가져가다,,2025-03-25 21:08:37,0,0
emprunter,타다,,2025-03-25 21:10:24,0,0
encore,또,,2025-03-25 21:31:41,0,0
encore,다시,,2025-03-25 21:30:53,0,0
enseigner,가르치다,,2025-03-24 20:08:52,0,0
ensemble,함께,,2025-03-25 21:28:26,0,0
environ,정도,,2025-03-24 20:00:19,0,0
envoyer,보내다,,2025-03-25 21:18:47,0,0
escalier,계단,2025-03-25 21:59:01,2025-03-24 20:12:36,0,1
et,그리고,,2025-03-25 20:54:38,0,0
expression,표현,,2025-03-24 20:11:59,0,0
fermement,꼭,,2025-03-25 21:04:55,0,0
finir,마치다,,2025-03-25 21:01:45,0,0
fourchette,포크,,2025-03-13 15:46:43,0,0
fumer,피우다,,2025-03-26 16:09:47,0,0
gentil,친절하다,,2025-03-24 20:10:24,0,0
grammaire,문법,,2025-03-24 20:00:59,0,0
hausser,올리다,,2025-03-25 21:48:13,0,0
hôpital,병원,,2025-03-24 20:03:16,0,0
ignorer,무시하다,,2025-03-24 20:26:55,0,0
interdiction de fumer,금연,,2025-03-26 16:02:53,0,0
jeter,버리다,,2025-03-26 16:22:00,0,0
le plus,가장,,2025-03-25 21:39:33,0,0
lieu,곳,,2025-03-26 16:09:00,0,0
livraison,배달,,2025-03-25 21:41:05,0,0
livraison à domicile,택배,,2025-03-25 21:46:35,0,0
livreur,배달자,,2025-03-25 21:15:02,0,0
magasin,가게,,2025-03-24 20:04:39,0,0
maintenant,지금,,2025-03-25 21:36:30,0,0
maintenant,이제,,2025-03-25 21:36:51,0,0
maquillage,조립,,2025-03-25 21:42:10,0,0
meilleur,제일,,2025-03-25 20:59:58,0,0
mégot,꽁초,,2025-03-26 16:19:25,0,0
n'importe lequel,아무거나,,2025-03-25 21:27:13,0,0
n'importe où,아무데나,,2025-03-25 21:20:18,0,0
n'importe qui,아무나,,2025-03-25 21:04:16,0,0
n'importe qui,누구나,,2025-03-25 21:03:59,0,0
niveau supérieur,고등,,2025-03-24 17:09:15,0,0
normalement,보통,,2025-03-25 15:38:57,0,0
